ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,81,843,3531,1728,4608,319,668,301,10186,4369,118,17,4,21,,552,,,,,,,,27265,28,1432,28725,40024,
27,TABASCO,2,CARDENAS,122,302,823,6768,17668,9542,1615,1546,913,68010,1170,487,124,18,157,459,,1091,,,,,,,110391,85,4565,115041,172275,
27,TABASCO,3,CENTLA,64,135,1221,4585,7195,7504,1020,1186,716,23698,3520,144,47,10,49,158,,,,,,,,,51053,20,2420,53493,72426,
27,TABASCO,4,CENTRO,278,824,7395,30234,16461,12394,6955,7484,3496,233401,6818,862,226,124,239,374,,,853,,,,2680,,329996,301,13909,344206,505368,
27,TABASCO,5,COMALCALCO,97,259,1272,14308,22491,2560,1353,1150,601,61265,762,615,157,17,123,,,,,,,,,124,106798,54,3733,110585,148837,
27,TABASCO,6,CUNDUACAN,59,154,1183,8404,7686,1857,1581,1471,676,32136,610,289,63,19,68,238,,,211,809,,,,,57301,50,3070,60421,91994,
27,TABASCO,7,EMILIANO ZAPATA,16,41,1356,3647,341,2604,610,501,256,6550,75,22,30,13,5,,,,,,,,,,16010,4,785,16799,22973,
27,TABASCO,8,HUIMANGUILLO,97,238,606,11995,21565,1762,1418,979,601,43353,1725,397,194,28,192,,,,,,745,,,,85560,74,4688,90322,128545,
27,TABASCO,9,JALAPA,28,54,218,3994,3573,2478,262,375,1097,8237,152,57,19,5,47,,,,,,,,,,20514,52,1056,21622,27884,
27,TABASCO,10,JALPA DE MENDEZ,37,100,637,4482,6235,5875,860,825,902,26271,,115,35,9,34,,,,,,,,,603,46883,17,1732,48632,62418,
27,TABASCO,11,JONUTA,26,47,174,1317,5890,472,137,195,2205,7865,116,42,14,1,19,,,,,,,,,,18447,10,913,19370,22847,
27,TABASCO,12,MACUSPANA,82,202,1500,6016,4793,7272,1442,1037,744,44671,2524,463,120,45,119,,,,,,,1230,,,71976,153,4067,76196,116099,
27,TABASCO,13,NACAJUCA,37,144,2253,4788,3505,6114,1264,1107,725,44372,537,203,61,29,48,,,,,,,,,,65006,10,3124,68140,92145,
27,TABASCO,14,PARAISO,45,117,820,4712,9909,1992,1139,925,768,28358,331,95,33,7,38,,,,,,,,,,49127,39,2009,51175,68267,
27,TABASCO,15,TACOTALPA,27,64,447,2530,2035,2906,1126,1931,460,9882,457,194,18,10,46,,,,,,,,,,22042,12,1514,23568,33033,
27,TABASCO,16,TEAPA,26,68,445,4194,2437,3470,1038,741,1663,10871,350,56,14,0,18,,,,,,,,,,25297,6,1552,26855,39754,
27,TABASCO,17,TENOSIQUE,44,82,393,8445,1855,1338,279,592,203,15406,420,42,13,4,13,,118,,,,,,,,29121,10,1019,30150,42729,