MUNICIPIO,SECCION,TIPO CASILLA,Lista Nominal,PAN,PRI,PRD-PT-PC,PVEM,PNA,Alternativa,CC,NoRegistrados,Nulos
AMACUZAC,1,BASICA,626,42,58,194,25,49,2,0,0,16
AMACUZAC,1,CONTIGUA 1,627,38,65,171,20,35,0,0,0,19
AMACUZAC,2,BASICA,405,7,27,103,23,46,1,0,0,7
AMACUZAC,2,CONTIGUA 1,405,16,41,105,18,39,1,0,0,7
AMACUZAC,3,BASICA,566,27,98,131,48,74,0,0,0,10
AMACUZAC,3,CONTIGUA 1,567,38,87,127,24,109,0,0,0,11
AMACUZAC,4,BASICA,536,35,46,210,15,55,1,0,0,11
AMACUZAC,4,CONTIGUA 1,537,24,39,194,7,66,0,0,0,8
AMACUZAC,4,GEOGRAFICA 1,327,17,32,137,9,12,0,0,0,12
AMACUZAC,5,BASICA,591,46,75,159,6,32,0,0,1,20
AMACUZAC,6,BASICA,567,48,68,81,12,67,2,0,2,13
AMACUZAC,6,CONTIGUA 1,567,40,64,77,23,91,1,0,0,26
AMACUZAC,6,CONTIGUA 2,567,27,80,80,23,83,1,0,1,14
AMACUZAC,7,BASICA,461,26,56,76,27,92,3,0,0,10
AMACUZAC,7,CONTIGUA 1,461,26,87,66,26,68,1,0,0,11
AMACUZAC,8,BASICA,537,41,82,108,35,67,0,0,0,6
AMACUZAC,8,CONTIGUA 1,538,36,73,94,20,85,0,0,0,7
AMACUZAC,9,BASICA,535,88,25,146,7,21,2,0,0,9
AMACUZAC,9,CONTIGUA 1,535,86,32,131,5,17,3,0,0,6
AMACUZAC,9,GEOGRAFICA 1,388,42,22,114,13,3,0,0,0,12
AMACUZAC,10,BASICA,578,30,35,127,5,78,1,0,0,15
AMACUZAC,10,CONTIGUA 1,578,31,24,118,5,88,1,0,1,14
AMACUZAC,11,BASICA,662,47,55,134,12,32,1,0,2,13
ATLATLAHUCAN,12,BASICA,610,64,87,91,8,51,85,0,0,12
ATLATLAHUCAN,12,CONTIGUA 1,610,96,61,85,13,47,67,0,0,9
ATLATLAHUCAN,12,CONTIGUA 2,610,85,48,85,10,40,99,0,0,11
ATLATLAHUCAN,13,BASICA,525,50,55,70,8,55,104,0,0,9
ATLATLAHUCAN,13,CONTIGUA 1,526,75,56,63,18,46,72,0,1,7
ATLATLAHUCAN,13,CONTIGUA 2,526,90,57,62,10,37,68,0,1,10
ATLATLAHUCAN,14,BASICA,668,112,87,63,8,52,83,0,0,13
ATLATLAHUCAN,14,CONTIGUA 1,669,104,72,71,11,72,69,0,0,5
ATLATLAHUCAN,15,BASICA,624,112,84,80,5,30,67,0,1,14
ATLATLAHUCAN,15,CONTIGUA 1,624,115,61,62,10,37,66,0,2,16
ATLATLAHUCAN,16,BASICA,633,68,75,38,45,61,36,0,7,25
ATLATLAHUCAN,17,BASICA,476,78,68,39,15,61,50,0,0,17
ATLATLAHUCAN,17,CONTIGUA 1,477,54,87,38,24,58,39,0,0,18
ATLATLAHUCAN,18,BASICA,691,159,87,49,21,47,116,0,0,17
ATLATLAHUCAN,19,BASICA,532,82,75,62,29,26,40,0,0,20
ATLATLAHUCAN,19,CONTIGUA 1,532,91,75,50,32,32,36,0,0,14
ATLATLAHUCAN,19,CONTIGUA 2,533,112,84,37,33,27,37,0,2,9
ATLATLAHUCAN,20,BASICA,334,98,23,30,6,12,49,0,0,0
ATLATLAHUCAN,21,BASICA,331,105,32,36,7,13,50,0,0,2
ATLATLAHUCAN,22,BASICA,384,113,25,31,13,15,56,0,0,4
ATLATLAHUCAN,23,BASICA,276,73,12,32,10,14,49,0,1,4
AXOCHIAPAN,24,BASICA,664,48,63,35,85,6,64,0,0,19
AXOCHIAPAN,24,CONTIGUA 1,664,54,105,49,77,0,55,0,3,20
AXOCHIAPAN,25,BASICA,529,63,92,18,112,0,25,0,1,13
AXOCHIAPAN,25,CONTIGUA 1,529,51,85,37,91,0,15,0,1,14
AXOCHIAPAN,26,BASICA,695,56,82,28,151,1,40,0,1,14
AXOCHIAPAN,26,CONTIGUA 1,696,59,90,29,118,1,40,0,0,24
AXOCHIAPAN,26,CONTIGUA 2,696,52,100,35,111,0,40,0,0,17
AXOCHIAPAN,27,BASICA,610,56,90,33,108,1,34,0,0,25
AXOCHIAPAN,27,CONTIGUA 1,610,53,89,32,116,4,45,0,0,23
AXOCHIAPAN,28,BASICA,568,53,74,29,110,1,29,0,0,13
AXOCHIAPAN,28,CONTIGUA 1,568,35,77,38,116,4,29,0,0,16
AXOCHIAPAN,29,BASICA,555,34,85,45,105,1,25,0,0,8
AXOCHIAPAN,29,CONTIGUA 1,556,51,82,26,90,0,27,0,0,24
AXOCHIAPAN,29,CONTIGUA 2,556,38,83,33,99,0,16,0,0,18
AXOCHIAPAN,30,BASICA,732,65,122,30,132,3,42,0,0,12
AXOCHIAPAN,30,CONTIGUA 1,732,59,97,27,170,2,20,0,0,19
AXOCHIAPAN,31,BASICA,584,43,62,30,114,4,52,0,0,25
AXOCHIAPAN,31,CONTIGUA 1,584,26,74,30,126,0,44,0,0,16
AXOCHIAPAN,31,CONTIGUA 2,584,35,66,37,110,6,50,0,2,17
AXOCHIAPAN,32,BASICA,484,29,83,39,58,0,26,0,0,22
AXOCHIAPAN,32,CONTIGUA 1,484,24,58,22,95,4,12,0,0,23
AXOCHIAPAN,33,BASICA,727,78,116,31,132,6,37,0,2,24
AXOCHIAPAN,33,CONTIGUA 1,727,73,124,39,108,4,40,0,0,30
AXOCHIAPAN,34,BASICA,215,42,21,7,33,0,8,0,0,9
AXOCHIAPAN,35,BASICA,462,17,67,51,86,3,59,0,0,24
AXOCHIAPAN,35,CONTIGUA 1,463,22,47,70,65,1,59,0,0,26
AXOCHIAPAN,36,BASICA,409,25,28,69,60,1,65,0,0,15
AXOCHIAPAN,36,CONTIGUA 1,409,13,45,48,56,0,31,0,0,21
AXOCHIAPAN,37,BASICA,732,39,76,86,79,1,127,0,1,41
AXOCHIAPAN,38,BASICA,676,66,78,72,44,3,70,0,0,24
AXOCHIAPAN,38,CONTIGUA 1,676,46,94,62,28,2,79,0,0,20
AXOCHIAPAN,39,BASICA,455,38,52,52,37,3,21,0,0,14
AXOCHIAPAN,39,CONTIGUA 1,456,49,57,56,22,0,22,0,0,13
AXOCHIAPAN,40,BASICA,468,104,96,24,49,1,7,0,0,8
AXOCHIAPAN,40,CONTIGUA 1,468,94,66,42,74,0,4,0,0,3
AXOCHIAPAN,41,BASICA,415,132,49,36,33,2,5,0,2,8
AXOCHIAPAN,41,CONTIGUA 1,416,122,52,36,42,1,3,0,0,5
AXOCHIAPAN,42,BASICA,340,28,82,6,49,2,5,0,2,6
AXOCHIAPAN,43,BASICA,384,27,67,18,12,0,11,0,0,12
AXOCHIAPAN,43,CONTIGUA 1,384,25,67,26,21,0,17,0,0,10
AYALA,44,BASICA,677,179,76,56,3,35,2,0,0,18
AYALA,44,CONTIGUA 1,677,173,65,60,1,21,3,0,1,20
AYALA,45,BASICA,610,158,115,39,1,49,2,0,0,12
AYALA,45,CONTIGUA 1,610,151,107,29,0,61,0,0,0,13
AYALA,45,CONTIGUA 2,611,166,89,41,0,53,5,0,0,18
AYALA,46,BASICA,523,159,60,42,0,25,3,0,0,18
AYALA,46,CONTIGUA 1,523,172,54,39,0,27,2,0,1,14
AYALA,47,BASICA,681,197,43,42,1,24,4,0,3,22
AYALA,47,CONTIGUA 1,681,186,43,60,2,21,7,0,0,19
AYALA,48,BASICA,701,117,101,37,0,28,1,0,0,28
AYALA,48,CONTIGUA 1,702,125,79,35,2,27,3,0,0,25
AYALA,49,BASICA,693,173,212,44,0,26,1,0,0,18
AYALA,49,CONTIGUA 1,693,208,152,53,0,50,5,0,0,9
AYALA,50,BASICA,515,113,153,21,0,13,4,0,0,17
AYALA,50,CONTIGUA 1,515,120,107,34,2,26,0,0,1,14
AYALA,51,BASICA,456,137,97,37,0,20,1,0,0,7
AYALA,51,CONTIGUA 1,456,137,102,45,0,23,1,0,0,10
AYALA,52,BASICA,691,188,132,41,0,24,1,0,1,17
AYALA,52,CONTIGUA 1,691,166,118,36,4,32,2,0,0,18
AYALA,53,BASICA,284,52,77,20,0,12,0,0,0,11
AYALA,54,BASICA,693,148,59,93,3,23,4,0,3,13
AYALA,54,CONTIGUA 1,694,143,56,110,5,23,2,0,2,13
AYALA,55,BASICA,665,104,81,67,4,31,8,0,0,16
AYALA,55,CONTIGUA 1,665,109,67,59,5,32,7,0,3,18
AYALA,55,CONTIGUA 2,666,118,92,62,3,35,5,0,2,10
AYALA,56,BASICA,661,117,78,85,4,37,5,0,2,15
AYALA,56,CONTIGUA 1,662,120,77,80,2,37,2,0,2,10
AYALA,57,BASICA,671,124,83,58,3,37,3,0,0,10
AYALA,57,CONTIGUA 1,671,122,90,52,4,46,3,0,0,13
AYALA,58,BASICA,689,109,105,42,0,49,3,0,0,10
AYALA,58,CONTIGUA 1,689,97,131,51,0,52,6,0,2,12
AYALA,59,BASICA,596,107,73,88,2,36,8,0,0,10
AYALA,59,CONTIGUA 1,596,92,65,55,4,25,7,0,0,13
AYALA,59,CONTIGUA 2,597,103,101,55,9,57,9,0,0,0
AYALA,60,BASICA,584,79,56,116,3,35,9,0,1,16
AYALA,61,BASICA,621,119,71,130,5,15,4,0,0,8
AYALA,61,CONTIGUA 1,621,113,104,121,2,16,3,0,1,4
AYALA,62,BASICA,616,79,84,77,1,73,5,0,2,9
AYALA,62,CONTIGUA 1,616,100,66,90,4,67,1,0,1,11
AYALA,62,CONTIGUA 2,617,104,71,60,2,61,4,0,0,16
AYALA,63,BASICA,305,82,47,55,0,12,4,0,0,3
AYALA,64,BASICA,494,97,45,110,4,19,8,0,1,10
AYALA,65,BASICA,517,103,50,33,0,14,7,0,0,23
AYALA,65,CONTIGUA 1,518,79,38,33,3,20,11,0,1,11
AYALA,66,BASICA,676,103,95,69,0,61,3,0,0,23
AYALA,66,CONTIGUA 1,677,104,109,71,1,72,5,0,0,20
AYALA,67,BASICA,501,49,68,97,3,25,3,0,0,9
AYALA,67,CONTIGUA 1,502,45,62,105,0,30,1,0,0,9
AYALA,67,CONTIGUA 2,502,69,75,77,2,31,3,0,1,13
AYALA,68,BASICA,534,95,47,61,0,40,1,0,1,21
AYALA,68,CONTIGUA 1,534,94,50,59,2,49,0,0,0,14
AYALA,68,CONTIGUA 2,535,107,34,70,2,24,2,0,0,15
AYALA,69,BASICA,572,95,68,96,0,66,1,0,2,7
AYALA,69,CONTIGUA 1,573,87,60,66,1,63,3,0,1,9
AYALA,70,BASICA,716,131,69,80,1,45,3,0,0,12
AYALA,70,CONTIGUA 1,717,145,78,101,6,38,4,0,0,9
AYALA,71,BASICA,623,147,105,62,3,32,8,0,0,18
AYALA,71,CONTIGUA 1,623,148,81,91,0,30,2,0,0,24
AYALA,72,BASICA,578,135,113,41,0,0,20,0,0,23
AYALA,72,CONTIGUA 1,578,139,99,36,0,34,5,0,0,10
AYALA,72,CONTIGUA 2,578,147,77,52,0,26,3,0,0,20
AYALA,73,BASICA,653,130,86,40,1,37,3,0,0,25
AYALA,73,CONTIGUA 1,653,128,113,46,0,22,12,0,0,22
AYALA,73,CONTIGUA 2,653,134,82,56,0,29,9,0,4,21
AYALA,74,BASICA,572,107,78,67,1,58,9,0,0,13
AYALA,74,CONTIGUA 1,572,121,100,65,3,55,3,0,0,7
AYALA,74,CONTIGUA 2,573,140,83,74,0,54,7,0,0,8
AYALA,75,BASICA,710,103,85,78,2,34,62,0,0,21
AYALA,75,CONTIGUA 1,710,94,108,63,0,17,41,0,0,22
AYALA,76,BASICA,553,82,79,89,3,29,23,0,0,19
AYALA,76,CONTIGUA 1,553,86,82,83,0,25,16,0,0,10
AYALA,77,BASICA,514,105,40,80,1,52,2,0,0,13
AYALA,77,CONTIGUA 1,515,110,40,76,0,26,9,0,0,10
AYALA,77,CONTIGUA 2,515,112,41,94,5,24,6,0,2,9
AYALA,78,BASICA,194,59,30,14,1,16,0,0,0,4
AYALA,79,BASICA,653,87,66,111,0,31,14,0,0,14
AYALA,80,BASICA,513,48,71,65,0,75,3,0,0,14
AYALA,80,CONTIGUA 1,514,49,67,66,0,70,1,0,0,14
AYALA,80,GEOGRAFICA 1,280,69,46,40,3,6,1,0,0,10
AYALA,81,BASICA,326,60,78,26,0,17,1,0,0,5
AYALA,82,BASICA,234,54,39,11,0,33,0,0,1,5
AYALA,83,BASICA,451,73,63,47,3,23,6,0,0,18
AYALA,83,CONTIGUA 1,451,79,95,52,5,30,5,0,1,6
AYALA,84,BASICA,544,77,141,45,2,40,7,0,0,8
AYALA,84,CONTIGUA 1,544,97,148,58,3,36,10,0,2,10
AYALA,85,BASICA,532,123,104,30,0,54,1,0,0,22
COATLAN DEL RIO,86,BASICA,463,35,74,61,39,58,1,0,0,15
COATLAN DEL RIO,86,CONTIGUA 1,464,52,82,41,30,62,3,0,0,14
COATLAN DEL RIO,87,BASICA,671,79,90,90,55,82,1,0,0,18
COATLAN DEL RIO,87,CONTIGUA 1,672,80,118,72,67,72,1,0,0,18
COATLAN DEL RIO,88,BASICA,571,45,84,71,8,131,0,0,0,21
COATLAN DEL RIO,89,BASICA,607,36,86,22,10,146,1,0,2,21
COATLAN DEL RIO,89,CONTIGUA 1,607,42,86,32,5,165,0,0,0,16
COATLAN DEL RIO,90,BASICA,450,33,47,38,16,98,2,0,0,17
COATLAN DEL RIO,91,BASICA,257,29,45,23,5,23,0,0,0,8
COATLAN DEL RIO,92,BASICA,735,112,101,81,5,87,0,0,0,28
COATLAN DEL RIO,93,BASICA,444,76,49,37,4,80,0,0,0,13
COATLAN DEL RIO,93,CONTIGUA 1,445,63,77,37,6,73,3,0,0,10
COATLAN DEL RIO,94,BASICA,729,115,150,24,5,120,0,0,0,22
COATLAN DEL RIO,95,BASICA,377,63,78,7,7,59,1,0,1,6
COATLAN DEL RIO,96,BASICA,255,32,81,15,9,11,0,0,0,12
CUAUTLA,97,BASICA,692,144,74,115,40,19,3,1,1,7
CUAUTLA,97,CONTIGUA 1,692,149,98,91,29,28,12,0,1,10
CUAUTLA,97,CONTIGUA 2,692,153,89,86,40,18,4,0,0,9
CUAUTLA,97,CONTIGUA 3,693,157,74,107,31,17,8,0,1,9
CUAUTLA,98,BASICA,415,77,37,105,11,14,3,0,0,11
CUAUTLA,98,CONTIGUA 1,416,100,49,89,21,5,7,0,1,8
CUAUTLA,99,BASICA,747,183,45,140,28,12,5,0,0,19
CUAUTLA,99,CONTIGUA 1,747,150,61,135,32,20,4,0,0,11
CUAUTLA,100,BASICA,583,150,30,71,22,13,1,0,0,14
CUAUTLA,100,CONTIGUA 1,583,134,45,98,19,17,3,0,0,12
CUAUTLA,100,CONTIGUA 2,584,144,33,117,16,19,0,1,0,8
CUAUTLA,101,BASICA,444,117,48,65,21,12,4,0,0,16
CUAUTLA,101,CONTIGUA 1,445,105,48,94,16,8,3,1,1,4
CUAUTLA,102,BASICA,679,144,60,80,27,18,3,0,3,11
CUAUTLA,102,CONTIGUA 1,679,121,58,80,27,12,3,0,0,11
CUAUTLA,102,CONTIGUA 2,680,147,49,106,26,9,4,1,2,14
CUAUTLA,103,BASICA,578,145,70,89,29,21,0,0,0,6
CUAUTLA,103,CONTIGUA 1,578,142,72,81,22,10,3,0,0,5
CUAUTLA,104,BASICA,471,111,72,72,17,12,6,0,0,5
CUAUTLA,104,CONTIGUA 1,471,96,81,75,17,14,6,0,0,6
CUAUTLA,105,BASICA,746,126,146,89,28,11,15,0,2,6
CUAUTLA,106,BASICA,448,94,58,67,17,17,3,0,0,7
CUAUTLA,106,CONTIGUA 1,449,106,53,62,15,7,4,0,0,9
CUAUTLA,107,BASICA,473,109,63,70,12,7,5,1,0,5
CUAUTLA,107,CONTIGUA 1,474,117,68,69,17,10,5,1,1,8
CUAUTLA,108,BASICA,539,95,72,84,14,15,2,0,0,18
CUAUTLA,108,CONTIGUA 1,539,106,75,69,18,8,7,0,0,12
CUAUTLA,108,CONTIGUA 2,540,103,62,69,17,17,7,0,0,11
CUAUTLA,109,BASICA,611,75,58,85,10,16,6,0,3,10
CUAUTLA,109,CONTIGUA 1,611,90,57,65,13,16,7,0,1,11
CUAUTLA,109,CONTIGUA 2,612,83,48,90,17,9,2,0,2,14
CUAUTLA,109,CONTIGUA 3,612,81,44,95,16,8,3,0,0,14
CUAUTLA,110,BASICA,579,109,65,88,18,16,4,0,1,8
CUAUTLA,110,CONTIGUA 1,580,89,70,85,18,6,8,0,0,12
CUAUTLA,110,CONTIGUA 2,580,107,67,75,17,13,10,0,2,4
CUAUTLA,111,BASICA,603,101,66,90,25,22,5,4,1,13
CUAUTLA,111,CONTIGUA 1,604,108,64,77,21,17,3,1,0,5
CUAUTLA,111,CONTIGUA 2,604,102,60,89,35,31,4,0,3,11
CUAUTLA,112,BASICA,741,73,71,207,16,18,0,0,3,16
CUAUTLA,112,CONTIGUA 1,741,90,64,213,23,10,4,1,0,14
CUAUTLA,113,BASICA,579,83,38,108,16,9,4,0,0,5
CUAUTLA,113,CONTIGUA 1,580,79,29,119,19,13,12,0,2,11
CUAUTLA,113,CONTIGUA 2,580,85,37,114,22,12,3,0,2,4
CUAUTLA,113,CONTIGUA 3,580,91,46,115,17,13,1,0,1,8
CUAUTLA,114,BASICA,736,102,58,188,4,12,7,0,0,16
CUAUTLA,114,CONTIGUA 1,736,109,52,159,9,11,10,0,2,10
CUAUTLA,114,CONTIGUA 2,737,92,95,169,11,9,3,0,0,15
CUAUTLA,115,BASICA,481,87,48,103,12,10,4,0,0,0
CUAUTLA,115,CONTIGUA 1,481,82,76,113,8,5,2,0,1,6
CUAUTLA,116,BASICA,662,119,94,104,29,13,10,0,0,15
CUAUTLA,116,CONTIGUA 1,662,115,93,99,19,21,11,0,2,2
CUAUTLA,117,BASICA,532,115,85,61,17,21,10,0,1,21
CUAUTLA,117,CONTIGUA 1,533,105,79,67,24,13,6,0,0,11
CUAUTLA,118,BASICA,647,121,94,71,31,22,12,0,1,10
CUAUTLA,118,CONTIGUA 1,647,126,75,88,45,32,5,0,2,10
CUAUTLA,119,BASICA,639,129,110,108,13,11,3,0,0,11
CUAUTLA,119,CONTIGUA 1,639,116,101,93,17,8,5,0,0,13
CUAUTLA,120,BASICA,606,121,83,104,13,21,9,0,0,7
CUAUTLA,120,CONTIGUA 1,606,117,97,98,16,30,6,0,2,7
CUAUTLA,121,BASICA,588,90,78,90,21,23,8,0,2,7
CUAUTLA,122,BASICA,437,95,67,74,10,6,5,0,1,3
CUAUTLA,122,CONTIGUA 1,437,74,54,62,9,15,3,0,1,10
CUAUTLA,123,BASICA,574,121,82,88,12,16,5,0,0,12
CUAUTLA,123,CONTIGUA 1,575,116,68,96,17,14,4,0,1,6
CUAUTLA,123,CONTIGUA 2,575,109,85,95,21,11,3,0,0,7
CUAUTLA,124,BASICA,581,170,65,72,20,12,4,1,2,7
CUAUTLA,124,CONTIGUA 1,582,155,74,76,15,16,4,0,0,10
CUAUTLA,125,BASICA,682,156,88,109,13,18,6,1,2,3
CUAUTLA,125,CONTIGUA 1,683,156,98,103,14,28,4,0,1,6
CUAUTLA,125,CONTIGUA 2,683,145,89,80,22,23,5,1,3,11
CUAUTLA,126,BASICA,561,118,65,80,22,13,8,0,3,8
CUAUTLA,126,CONTIGUA 1,561,118,75,82,22,10,5,0,1,6
CUAUTLA,126,CONTIGUA 2,562,132,74,85,13,9,5,3,3,4
CUAUTLA,127,BASICA,683,140,91,106,8,13,5,0,0,8
CUAUTLA,127,CONTIGUA 1,683,138,84,83,16,19,8,0,0,15
CUAUTLA,128,BASICA,594,150,83,92,28,26,5,0,0,11
CUAUTLA,128,CONTIGUA 1,594,136,95,95,30,10,8,0,6,0
CUAUTLA,129,BASICA,604,130,70,85,26,8,4,0,2,10
CUAUTLA,129,CONTIGUA 1,605,122,82,69,18,12,4,0,0,8
CUAUTLA,130,BASICA,690,143,81,114,28,22,2,2,4,7
CUAUTLA,130,CONTIGUA 1,690,159,91,83,21,16,6,1,5,6
CUAUTLA,130,CONTIGUA 2,691,169,72,95,28,22,8,0,4,8
CUAUTLA,131,BASICA,542,105,88,71,17,8,5,0,0,6
CUAUTLA,131,CONTIGUA 1,543,102,82,75,17,15,3,0,1,7
CUAUTLA,131,CONTIGUA 2,543,96,75,68,21,18,2,0,1,6
CUAUTLA,132,BASICA,605,142,99,77,30,33,1,0,0,10
CUAUTLA,132,CONTIGUA 1,606,118,72,74,20,29,1,0,0,9
CUAUTLA,133,BASICA,339,101,62,37,9,7,0,0,1,3
CUAUTLA,134,BASICA,628,122,106,68,24,26,16,1,1,11
CUAUTLA,134,CONTIGUA 1,629,132,112,76,33,20,13,0,0,9
CUAUTLA,135,BASICA,634,113,87,78,14,14,4,0,1,11
CUAUTLA,135,CONTIGUA 1,634,84,77,91,10,5,5,0,1,16
CUAUTLA,135,CONTIGUA 2,634,92,87,98,18,0,2,0,0,12
CUAUTLA,135,CONTIGUA 3,635,111,64,98,10,11,2,0,2,9
CUAUTLA,135,CONTIGUA 4,635,87,80,79,14,10,7,0,2,12
CUAUTLA,136,BASICA,530,92,62,71,11,23,2,1,0,5
CUAUTLA,136,CONTIGUA 1,531,87,51,88,12,14,3,0,0,1
CUAUTLA,137,BASICA,708,130,85,94,14,19,2,0,0,7
CUAUTLA,137,CONTIGUA 1,709,107,92,113,9,12,4,0,0,8
CUAUTLA,138,BASICA,665,132,111,91,13,20,2,0,0,5
CUAUTLA,138,CONTIGUA 1,666,117,113,86,30,23,1,0,0,10
CUAUTLA,139,BASICA,477,92,92,54,15,25,2,1,1,8
CUAUTLA,139,CONTIGUA 1,478,96,113,53,15,17,3,0,1,6
CUAUTLA,140,BASICA,649,150,141,92,45,0,7,0,0,10
CUAUTLA,140,CONTIGUA 1,649,161,137,74,29,28,9,2,0,8
CUAUTLA,141,BASICA,393,82,55,63,15,6,2,0,0,8
CUAUTLA,141,CONTIGUA 1,393,75,56,69,11,10,0,1,0,5
CUAUTLA,142,BASICA,706,146,127,87,17,10,6,0,0,13
CUAUTLA,142,CONTIGUA 1,706,130,100,89,18,22,7,0,0,8
CUAUTLA,143,BASICA,514,81,103,87,21,15,6,2,0,7
CUAUTLA,143,CONTIGUA 1,514,102,96,74,14,11,5,1,1,5
CUAUTLA,143,CONTIGUA 2,515,85,95,74,17,13,0,1,0,17
CUAUTLA,144,BASICA,489,66,75,68,15,8,3,0,1,7
CUAUTLA,144,CONTIGUA 1,489,76,58,83,9,18,2,0,0,8
CUAUTLA,145,BASICA,521,137,60,87,26,20,10,0,7,0
CUAUTLA,145,CONTIGUA 1,521,108,64,95,28,14,9,0,0,5
CUAUTLA,146,BASICA,582,89,146,99,19,13,3,1,5,5
CUAUTLA,146,CONTIGUA 1,582,103,106,85,25,15,2,0,1,5
CUAUTLA,147,BASICA,649,124,97,71,5,29,8,0,0,10
CUAUTLA,147,CONTIGUA 1,649,109,109,95,27,16,7,3,3,6
CUAUTLA,148,BASICA,651,111,107,69,21,17,5,0,0,17
CUAUTLA,148,CONTIGUA 1,651,118,101,66,18,24,3,0,0,9
CUAUTLA,149,BASICA,420,85,71,53,12,6,6,0,0,7
CUAUTLA,149,CONTIGUA 1,420,98,78,47,18,10,1,0,0,2
CUAUTLA,150,BASICA,699,129,69,102,14,12,6,1,0,11
CUAUTLA,150,CONTIGUA 1,699,109,61,128,5,9,0,0,2,7
CUAUTLA,150,CONTIGUA 2,700,114,70,138,16,17,2,0,0,17
CUAUTLA,151,BASICA,707,131,90,89,19,17,5,0,0,14
CUAUTLA,151,CONTIGUA 1,707,105,91,105,15,11,5,0,3,13
CUAUTLA,151,CONTIGUA 2,707,127,95,113,15,7,8,0,0,12
CUAUTLA,151,CONTIGUA 3,708,130,112,91,8,16,7,1,0,18
CUAUTLA,152,BASICA,702,124,103,88,18,15,8,1,0,17
CUAUTLA,152,CONTIGUA 1,703,130,125,53,16,21,3,0,3,17
CUAUTLA,153,BASICA,461,91,89,70,11,7,6,0,0,3
CUAUTLA,153,CONTIGUA 1,462,93,61,73,3,10,7,0,0,6
CUAUTLA,154,BASICA,503,128,85,82,13,12,2,1,1,4
CUAUTLA,154,CONTIGUA 1,503,114,88,85,6,9,4,0,2,3
CUAUTLA,155,BASICA,617,130,93,90,24,27,6,1,0,7
CUAUTLA,155,CONTIGUA 1,618,135,73,88,22,21,3,0,0,8
CUAUTLA,156,BASICA,467,91,64,79,15,7,7,0,0,8
CUAUTLA,156,CONTIGUA 1,467,108,59,80,18,15,4,0,0,7
CUAUTLA,157,BASICA,404,80,82,65,19,5,4,0,0,7
CUAUTLA,157,CONTIGUA 1,404,66,92,58,25,6,8,0,0,5
CUAUTLA,158,BASICA,501,121,83,61,15,17,16,0,0,3
CUAUTLA,159,BASICA,526,101,80,97,25,12,5,0,0,13
CUAUTLA,159,CONTIGUA 1,527,83,91,100,19,18,5,0,0,11
CUAUTLA,159,CONTIGUA 2,527,95,100,78,15,16,1,0,1,14
CUAUTLA,160,BASICA,379,72,65,64,16,11,6,0,0,3
CUAUTLA,160,CONTIGUA 1,380,89,61,58,8,13,8,3,1,4
CUAUTLA,161,BASICA,575,108,97,94,22,9,6,0,1,4
CUAUTLA,162,BASICA,538,138,79,85,12,10,5,1,0,2
CUAUTLA,162,CONTIGUA 1,538,118,93,87,36,0,6,0,0,5
CUAUTLA,163,BASICA,445,78,79,65,11,9,1,0,0,12
CUAUTLA,164,BASICA,447,55,97,57,12,12,3,0,0,11
CUAUTLA,165,BASICA,551,77,106,78,6,19,5,0,0,9
CUAUTLA,165,CONTIGUA 1,551,87,90,58,17,25,6,0,1,5
CUAUTLA,166,BASICA,668,91,119,92,19,29,3,2,0,18
CUAUTLA,166,CONTIGUA 1,669,134,128,87,10,23,2,0,2,11
CUAUTLA,167,BASICA,429,73,79,43,8,20,5,1,0,3
CUAUTLA,167,CONTIGUA 1,430,74,87,63,11,14,1,0,1,5
CUAUTLA,168,BASICA,441,73,101,62,13,16,3,0,0,9
CUAUTLA,168,CONTIGUA 1,441,100,83,52,6,9,3,0,0,5
CUAUTLA,169,BASICA,661,101,154,100,15,15,5,0,0,9
CUAUTLA,169,CONTIGUA 1,662,110,161,86,8,13,10,0,0,6
CUAUTLA,170,BASICA,472,53,104,75,16,17,4,0,2,10
CUAUTLA,170,CONTIGUA 1,473,65,107,68,15,24,3,0,0,4
CUAUTLA,171,BASICA,523,63,124,75,11,13,0,0,0,10
